data,in_date,type,country,department,municipality
1503,2021-01-17,Confirmados,Bolivia,All,All
1550,2021-01-18,Confirmados,Bolivia,All,All
2357,2021-01-19,Confirmados,Bolivia,All,All
2655,2021-01-20,Confirmados,Bolivia,All,All
2648,2021-01-21,Confirmados,Bolivia,All,All
1864,2021-01-22,Confirmados,Bolivia,All,All
1732,2021-01-23,Confirmados,Bolivia,All,All
1048,2021-01-24,Confirmados,Bolivia,All,All
1781,2021-01-25,Confirmados,Bolivia,All,All
2390,2021-01-26,Confirmados,Bolivia,All,All
2866,2021-01-27,Confirmados,Bolivia,All,All
2652,2021-01-28,Confirmados,Bolivia,All,All
2666,2021-01-29,Confirmados,Bolivia,All,All
2005,2021-01-30,Confirmados,Bolivia,All,All
1438,2021-01-31,Confirmados,Bolivia,All,All
1464,2021-02-01,Confirmados,Bolivia,All,All
2127,2021-02-02,Confirmados,Bolivia,All,All
2021,2021-02-03,Confirmados,Bolivia,All,All
1787,2021-02-04,Confirmados,Bolivia,All,All
1676,2021-02-05,Confirmados,Bolivia,All,All
1218,2021-02-06,Confirmados,Bolivia,All,All
839,2021-02-07,Confirmados,Bolivia,All,All
1220,2021-02-08,Confirmados,Bolivia,All,All
1544,2021-02-09,Confirmados,Bolivia,All,All
1771,2021-02-10,Confirmados,Bolivia,All,All
1352,2021-02-11,Confirmados,Bolivia,All,All
1244,2021-02-12,Confirmados,Bolivia,All,All
938,2021-02-13,Confirmados,Bolivia,All,All
696,2021-02-14,Confirmados,Bolivia,All,All
412,2021-02-15,Confirmados,Bolivia,All,All
562,2021-02-16,Confirmados,Bolivia,All,All
789,2021-02-17,Confirmados,Bolivia,All,All
1029,2021-02-18,Confirmados,Bolivia,All,All
1152,2021-02-19,Confirmados,Bolivia,All,All
1095,2021-02-20,Confirmados,Bolivia,All,All
521,2021-02-21,Confirmados,Bolivia,All,All
884,2021-02-22,Confirmados,Bolivia,All,All
1204,2021-02-23,Confirmados,Bolivia,All,All
1339,2021-02-24,Confirmados,Bolivia,All,All
1103,2021-02-25,Confirmados,Bolivia,All,All
1069,2021-02-26,Confirmados,Bolivia,All,All
656,2021-02-27,Confirmados,Bolivia,All,All
463,2021-02-28,Confirmados,Bolivia,All,All
757,2021-03-01,Confirmados,Bolivia,All,All
790,2021-03-02,Confirmados,Bolivia,All,All
834,2021-03-03,Confirmados,Bolivia,All,All
969,2021-03-04,Confirmados,Bolivia,All,All
937,2021-03-05,Confirmados,Bolivia,All,All
653,2021-03-06,Confirmados,Bolivia,All,All
323,2021-03-07,Confirmados,Bolivia,All,All
463,2021-03-08,Confirmados,Bolivia,All,All
885,2021-03-09,Confirmados,Bolivia,All,All
841,2021-03-10,Confirmados,Bolivia,All,All
778,2021-03-11,Confirmados,Bolivia,All,All
1084,2021-03-12,Confirmados,Bolivia,All,All
680,2021-03-13,Confirmados,Bolivia,All,All
385,2021-03-14,Confirmados,Bolivia,All,All
670,2021-03-15,Confirmados,Bolivia,All,All
929,2021-03-16,Confirmados,Bolivia,All,All
1068,2021-03-17,Confirmados,Bolivia,All,All
885,2021-03-18,Confirmados,Bolivia,All,All
867,2021-03-19,Confirmados,Bolivia,All,All
603,2021-03-20,Confirmados,Bolivia,All,All
223,2021-03-21,Confirmados,Bolivia,All,All
573,2021-03-22,Confirmados,Bolivia,All,All
879,2021-03-23,Confirmados,Bolivia,All,All
973,2021-03-24,Confirmados,Bolivia,All,All
774,2021-03-25,Confirmados,Bolivia,All,All
878,2021-03-26,Confirmados,Bolivia,All,All
591,2021-03-27,Confirmados,Bolivia,All,All
326,2021-03-28,Confirmados,Bolivia,All,All
719,2021-03-29,Confirmados,Bolivia,All,All
1072,2021-03-30,Confirmados,Bolivia,All,All
992,2021-03-31,Confirmados,Bolivia,All,All
916,2021-04-01,Confirmados,Bolivia,All,All
620,2021-04-02,Confirmados,Bolivia,All,All
520,2021-04-03,Confirmados,Bolivia,All,All
467,2021-04-04,Confirmados,Bolivia,All,All
884,2021-04-05,Confirmados,Bolivia,All,All
1072,2021-04-06,Confirmados,Bolivia,All,All
1076,2021-04-07,Confirmados,Bolivia,All,All
1241,2021-04-08,Confirmados,Bolivia,All,All
1442,2021-04-09,Confirmados,Bolivia,All,All
921,2021-04-10,Confirmados,Bolivia,All,All
525,2021-04-11,Confirmados,Bolivia,All,All
989,2021-04-12,Confirmados,Bolivia,All,All
1099,2021-04-13,Confirmados,Bolivia,All,All
1108,2021-04-14,Confirmados,Bolivia,All,All
823,2021-04-15,Confirmados,Bolivia,All,All
1246,2021-04-16,Confirmados,Bolivia,All,All
1185,2021-04-17,Confirmados,Bolivia,All,All
521,2021-04-18,Confirmados,Bolivia,All,All
1296,2021-04-19,Confirmados,Bolivia,All,All
1313,2021-04-20,Confirmados,Bolivia,All,All
1386,2021-04-21,Confirmados,Bolivia,All,All
1330,2021-04-22,Confirmados,Bolivia,All,All
1501,2021-04-23,Confirmados,Bolivia,All,All
1293,2021-04-24,Confirmados,Bolivia,All,All
474,2021-04-25,Confirmados,Bolivia,All,All
1119,2021-04-26,Confirmados,Bolivia,All,All
1480,2021-04-27,Confirmados,Bolivia,All,All
1573,2021-04-28,Confirmados,Bolivia,All,All
1901,2021-04-29,Confirmados,Bolivia,All,All
1862,2021-04-30,Confirmados,Bolivia,All,All
933,2021-05-01,Confirmados,Bolivia,All,All
1034,2021-05-02,Confirmados,Bolivia,All,All
1423,2021-05-03,Confirmados,Bolivia,All,All
1588,2021-05-04,Confirmados,Bolivia,All,All
1835,2021-05-05,Confirmados,Bolivia,All,All
1783,2021-05-06,Confirmados,Bolivia,All,All
1963,2021-05-07,Confirmados,Bolivia,All,All
1394,2021-05-08,Confirmados,Bolivia,All,All
1063,2021-05-09,Confirmados,Bolivia,All,All
1599,2021-05-10,Confirmados,Bolivia,All,All
2369,2021-05-11,Confirmados,Bolivia,All,All
2290,2021-05-12,Confirmados,Bolivia,All,All
2356,2021-05-13,Confirmados,Bolivia,All,All
2509,2021-05-14,Confirmados,Bolivia,All,All
1783,2021-05-15,Confirmados,Bolivia,All,All
1051,2021-05-16,Confirmados,Bolivia,All,All
2257,2021-05-17,Confirmados,Bolivia,All,All
2617,2021-05-18,Confirmados,Bolivia,All,All
2766,2021-05-19,Confirmados,Bolivia,All,All
2858,2021-05-20,Confirmados,Bolivia,All,All
3005,2021-05-21,Confirmados,Bolivia,All,All
